Time (s),HB (mM),Glu (mM),pH,label
0.1,0.1095,2.95562,7.47188,2
0.2,0.10949,2.95561,7.47189,2
0.3,0.10949,2.95559,7.47186,2
0.4,0.10948,2.95558,7.47203,2
0.5,0.10948,2.95557,7.4722,2
0.6,0.10947,2.95557,7.47219,2
0.7,0.10947,2.95556,7.47218,2
0.8,0.10947,2.95555,7.47182,2
0.9,0.10946,2.95554,7.47185,2
1,0.10946,2.95553,7.47185,2
1.1,0.10945,2.95552,7.47224,2
1.2,0.10945,2.95551,7.47225,2
1.3,0.10945,2.9555,7.47223,2
1.4,0.10944,2.9555,7.47186,2
1.5,0.10944,2.95549,7.47189,2
1.6,0.10943,2.95547,7.47189,2
1.7,0.10942,2.95546,7.47222,2
1.8,0.10942,2.95545,7.47226,2
1.9,0.10942,2.95544,7.47225,2
2,0.10941,2.95544,7.47215,2
2.1,0.10941,2.95543,7.47195,2
2.2,0.1094,2.95541,7.47194,2
2.3,0.10939,2.9554,7.47192,2
2.4,0.10939,2.95539,7.47226,2
2.5,0.10938,2.95538,7.47221,2
2.6,0.10938,2.95538,7.47217,2
2.7,0.10938,2.95537,7.4718,2
2.8,0.10937,2.95535,7.47178,2
2.9,0.10937,2.95534,7.47176,2
3,0.10936,2.95533,7.47213,2
3.1,0.10935,2.95531,7.47215,2
3.2,0.10935,2.9553,7.47214,2
3.3,0.10935,2.9553,7.47183,2
3.4,0.10934,2.95529,7.47176,2
3.5,0.10933,2.95527,7.47178,2
3.6,0.10933,2.95526,7.47181,2
3.7,0.10932,2.95525,7.47217,2
3.8,0.10932,2.95524,7.47217,2
3.9,0.10932,2.95523,7.47218,2
4,0.10931,2.95522,7.47182,2
4.1,0.10931,2.9552,7.47183,2
4.2,0.1093,2.95519,7.47184,2
4.3,0.1093,2.95517,7.47221,2
4.4,0.10929,2.95516,7.4722,2
4.5,0.10929,2.95515,7.4722,2
4.6,0.10929,2.95514,7.47187,2
4.7,0.10928,2.95513,7.47185,2
4.8,0.10928,2.95511,7.47183,2
4.9,0.10927,2.9551,7.47187,2
5,0.10927,2.95508,7.4722,2
5.1,0.10926,2.95507,7.4722,2
5.2,0.10926,2.95506,7.47221,2
5.3,0.10925,2.95505,7.47184,2
5.4,0.10925,2.95504,7.47186,2
5.5,0.10924,2.95502,7.47187,2
5.6,0.10924,2.95501,7.47224,2
5.7,0.10923,2.95499,7.47224,2
5.8,0.10923,2.95498,7.47224,2
5.9,0.10923,2.95497,7.47194,2
6,0.10922,2.95496,7.47194,2
