Time (s),HB (mM),Glu (mM),pH,label
0.1,0.00796,4.46959,7.62442,0
0.2,0.00796,4.46955,7.62443,0
0.3,0.00796,4.46951,7.62443,0
0.4,0.00796,4.46947,7.62443,0
0.5,0.00796,4.46943,7.62444,0
0.6,0.00796,4.46939,7.62444,0
0.7,0.00795,4.46936,7.62444,0
0.8,0.00795,4.46932,7.62444,0
0.9,0.00795,4.46928,7.62445,0
1,0.00795,4.46924,7.62445,0
1.1,0.00795,4.46921,7.62445,0
1.2,0.00794,4.46917,7.62446,0
1.3,0.00794,4.46913,7.62446,0
1.4,0.00793,4.4691,7.62446,0
1.5,0.00793,4.46906,7.62446,0
1.6,0.00792,4.46903,7.62447,0
1.7,0.00792,4.46899,7.62447,0
1.8,0.00792,4.46896,7.62447,0
1.9,0.00791,4.46893,7.62448,0
2,0.00791,4.46889,7.62448,0
2.1,0.0079,4.46886,7.62448,0
2.2,0.0079,4.46883,7.62449,0
2.3,0.0079,4.4688,7.62449,0
2.4,0.00791,4.46877,7.62449,0
2.5,0.00791,4.46875,7.62449,0
2.6,0.00791,4.46872,7.62449,0
2.7,0.00791,4.46869,7.6245,0
2.8,0.00791,4.46867,7.6245,0
2.9,0.00791,4.46864,7.6245,0
3,0.0079,4.46862,7.6245,0
3.1,0.0079,4.4686,7.6245,0
3.2,0.0079,4.46858,7.62451,0
3.3,0.0079,4.46856,7.62451,0
3.4,0.0079,4.46854,7.62451,0
3.5,0.0079,4.46852,7.62451,0
3.6,0.00789,4.46849,7.62451,0
3.7,0.00789,4.46847,7.62451,0
3.8,0.00789,4.46845,7.62451,0
3.9,0.00788,4.46843,7.62451,0
4,0.00788,4.46841,7.62451,0
4.1,0.00788,4.46838,7.62451,0
4.2,0.00788,4.46836,7.62451,0
4.3,0.00787,4.46833,7.62451,0
4.4,0.00787,4.46831,7.62451,0
4.5,0.00786,4.46829,7.62452,0
4.6,0.00786,4.46826,7.62452,0
4.7,0.00785,4.46824,7.62452,0
4.8,0.00785,4.46822,7.62452,0
4.9,0.00785,4.4682,7.62452,0
5,0.00785,4.46818,7.62453,0
5.1,0.00785,4.46816,7.62453,0
5.2,0.00785,4.46814,7.62453,0
5.3,0.00785,4.46811,7.62453,0
5.4,0.00785,4.46809,7.62453,0
5.5,0.00785,4.46806,7.62454,0
5.6,0.00785,4.46804,7.62454,0
5.7,0.00785,4.46801,7.62454,0
5.8,0.00785,4.46799,7.62454,0
5.9,0.00785,4.46796,7.62454,0
6,0.00784,4.46794,7.62455,0
6.1,0.00784,4.46791,7.62455,0
6.2,0.00783,4.46788,7.62455,0
6.3,0.00782,4.46786,7.62455,0
6.4,0.00782,4.46783,7.62455,0
6.5,0.00782,4.4678,7.62456,0
6.6,0.00782,4.46777,7.62456,0
6.7,0.00782,4.46774,7.62456,0
6.8,0.00781,4.46771,7.62456,0
6.9,0.00781,4.46768,7.62456,0
7,0.0078,4.46765,7.62457,0
7.1,0.0078,4.46762,7.62457,0
7.2,0.0078,4.46759,7.62457,0
7.3,0.0078,4.46756,7.62457,0
7.4,0.0078,4.46753,7.62457,0
7.5,0.00779,4.46749,7.62458,0
7.6,0.00779,4.46747,7.62458,0
7.7,0.00779,4.46744,7.62458,0
7.8,0.00778,4.46741,7.62458,0
7.9,0.00778,4.46737,7.62459,0
8,0.00777,4.46734,7.62459,0
8.1,0.00777,4.46731,7.62459,0
8.2,0.00776,4.46727,7.62459,0
8.3,0.00775,4.46724,7.62459,0
8.4,0.00775,4.4672,7.6246,0
8.5,0.00774,4.46716,7.6246,0
8.6,0.00774,4.46713,7.6246,0
8.7,0.00773,4.46709,7.6246,0
8.8,0.00773,4.46705,7.62461,0
8.9,0.00773,4.46701,7.62461,0
9,0.00772,4.46697,7.62462,0
9.1,0.00771,4.46694,7.62462,0
9.2,0.00771,4.4669,7.62463,0
9.3,0.0077,4.46686,7.62463,0
9.4,0.00769,4.46683,7.62464,0
9.5,0.00769,4.46679,7.62464,0
9.6,0.00768,4.46675,7.62464,0
9.7,0.00767,4.46671,7.62465,0
9.8,0.00767,4.46667,7.62465,0
9.9,0.00766,4.46663,7.62466,0
10,0.00765,4.46659,7.62466,0
10.1,0.00765,4.46655,7.62466,0
10.2,0.00764,4.46651,7.62467,0
10.3,0.00764,4.46647,7.62467,0
10.4,0.00764,4.46643,7.62467,0
10.5,0.00764,4.46639,7.62467,0
10.6,0.00763,4.46635,7.62468,0
10.7,0.00763,4.46631,7.62468,0
10.8,0.00762,4.46626,7.62468,0
10.9,0.00761,4.46622,7.62469,0
11,0.00761,4.46618,7.62469,0
11.1,0.0076,4.46614,7.62469,0
11.2,0.00759,4.46609,7.62469,0
11.3,0.00759,4.46605,7.6247,0
11.4,0.00758,4.466,7.6247,0
11.5,0.00757,4.46596,7.6247,0
11.6,0.00757,4.46591,7.6247,0
11.7,0.00756,4.46587,7.6247,0
11.8,0.00756,4.46582,7.6247,0
11.9,0.00755,4.46578,7.62471,0
12,0.00755,4.46573,7.62471,0
12.1,0.00754,4.46568,7.62471,0
12.2,0.00753,4.46564,7.62471,0
12.3,0.00752,4.46559,7.62471,0
12.4,0.00752,4.46554,7.62472,0
12.5,0.00751,4.4655,7.62472,0
12.6,0.0075,4.46545,7.62472,0
12.7,0.0075,4.4654,7.62472,0
12.8,0.00749,4.46536,7.62473,0
12.9,0.00749,4.46531,7.62473,0
13,0.00748,4.46526,7.62473,0
13.1,0.00748,4.46521,7.62473,0
13.2,0.00747,4.46517,7.62473,0
13.3,0.00746,4.46512,7.62474,0
13.4,0.00745,4.46507,7.62474,0
13.5,0.00745,4.46502,7.62474,0
13.6,0.00744,4.46497,7.62474,0
13.7,0.00743,4.46492,7.62475,0
13.8,0.00742,4.46487,7.62475,0
13.9,0.00741,4.46482,7.62475,0
14,0.0074,4.46477,7.62475,0
14.1,0.0074,4.46472,7.62475,0
14.2,0.00739,4.46467,7.62476,0
14.3,0.00738,4.46461,7.62476,0
14.4,0.00737,4.46456,7.62476,0
14.5,0.00736,4.46451,7.62476,0
14.6,0.00735,4.46445,7.62477,0
14.7,0.00735,4.4644,7.62477,0
14.8,0.00734,4.46435,7.62477,0
14.9,0.00733,4.4643,7.62478,0
15,0.00733,4.46424,7.62478,0
15.1,0.00732,4.46419,7.62478,0
15.2,0.00731,4.46414,7.62478,0
15.3,0.00731,4.46408,7.62479,0
15.4,0.0073,4.46403,7.62479,0
