Time (s),HB (mM),Glu (mM),pH,label
0.1,0.03804,2.78011,7.45429,2
0.2,0.03804,2.78011,7.45429,2
0.3,0.03804,2.78011,7.45429,2
0.4,0.03804,2.78011,7.45429,2
0.5,0.03804,2.78011,7.45429,2
0.6,0.03804,2.78011,7.45429,2
0.7,0.03804,2.78011,7.45429,2
0.8,0.03804,2.78011,7.45429,2
0.9,0.03804,2.78011,7.45429,2
1,0.03804,2.78011,7.45429,2
1.1,0.03804,2.78011,7.45429,2
1.2,0.03804,2.78011,7.45429,2
1.3,0.03804,2.78012,7.45429,2
1.4,0.03804,2.78012,7.45429,2
1.5,0.03804,2.78012,7.45429,2
1.6,0.03803,2.78012,7.45429,2
1.7,0.03803,2.78012,7.45429,2
1.8,0.03803,2.78012,7.45429,2
1.9,0.03803,2.78012,7.45429,2
2,0.03803,2.78012,7.45429,2
2.1,0.03803,2.78012,7.45429,2
2.2,0.03803,2.78012,7.45429,2
2.3,0.03803,2.78013,7.45429,2
2.4,0.03803,2.78013,7.45429,2
2.5,0.03803,2.78013,7.45429,2
2.6,0.03803,2.78013,7.45429,2
2.7,0.03803,2.78013,7.45429,2
2.8,0.03803,2.78013,7.45429,2
2.9,0.03803,2.78013,7.45429,2
3,0.03803,2.78013,7.45429,2
3.1,0.03803,2.78014,7.45429,2
3.2,0.03803,2.78014,7.45429,2
3.3,0.03803,2.78014,7.45429,2
3.4,0.03803,2.78014,7.45429,2
3.5,0.03803,2.78014,7.45429,2
3.6,0.03803,2.78014,7.45429,2
3.7,0.03803,2.78015,7.45429,2
3.8,0.03803,2.78015,7.45429,2
3.9,0.03803,2.78015,7.45429,2
4,0.03803,2.78015,7.45429,2
4.1,0.03803,2.78015,7.45429,2
4.2,0.03803,2.78016,7.45429,2
4.3,0.03803,2.78016,7.45429,2
4.4,0.03803,2.78016,7.45429,2
4.5,0.03803,2.78016,7.45429,2
4.6,0.03803,2.78016,7.45429,2
4.7,0.03802,2.78017,7.45429,2
4.8,0.03802,2.78017,7.45429,2
4.9,0.03802,2.78017,7.45429,2
5,0.03802,2.78017,7.45429,2
5.1,0.03802,2.78018,7.45429,2
5.2,0.03802,2.78018,7.45429,2
5.3,0.03802,2.78018,7.45429,2
5.4,0.03802,2.78018,7.45429,2
5.5,0.03802,2.78018,7.45429,2
5.6,0.03802,2.78019,7.45429,2
5.7,0.03802,2.78019,7.45429,2
5.8,0.03802,2.78019,7.45429,2
5.9,0.03802,2.78019,7.45429,2
6,0.03802,2.78019,7.45429,2
6.1,0.03802,2.78019,7.45429,2
6.2,0.03802,2.7802,7.45429,2
6.3,0.03802,2.7802,7.45429,2
6.4,0.03801,2.7802,7.45429,2
6.5,0.03801,2.7802,7.45429,2
6.6,0.03801,2.7802,7.45429,2
6.7,0.03801,2.7802,7.45429,2
6.8,0.03801,2.7802,7.45429,2
6.9,0.03801,2.78021,7.45429,2
7,0.03801,2.78021,7.45429,2
7.1,0.03801,2.78021,7.45429,2
7.2,0.03801,2.78021,7.45429,2
7.3,0.03801,2.78021,7.45429,2
7.4,0.03801,2.78021,7.45429,2
7.5,0.03801,2.78022,7.45429,2
7.6,0.03801,2.78022,7.45429,2
