Time (s),HB (mM),Glu (mM),pH,label
0.1,0.18926,3.39849,7.51443,2
0.2,0.18927,3.39884,7.51441,2
0.3,0.18928,3.39919,7.5144,2
0.4,0.1893,3.39953,7.51438,2
0.5,0.18931,3.39987,7.51437,2
0.6,0.18932,3.40021,7.51435,2
0.7,0.18934,3.40055,7.51434,2
0.8,0.18935,3.40089,7.51432,2
0.9,0.18936,3.40122,7.51431,2
1,0.18937,3.40155,7.51429,2
1.1,0.18939,3.40188,7.51428,2
1.2,0.1894,3.40221,7.51426,2
1.3,0.18941,3.40253,7.51425,2
1.4,0.18943,3.40285,7.51423,2
1.5,0.18944,3.40317,7.51422,2
1.6,0.18945,3.40349,7.5142,2
1.7,0.18946,3.4038,7.51419,2
1.8,0.18948,3.40412,7.51418,2
1.9,0.18949,3.40443,7.51416,2
2,0.1895,3.40474,7.51415,2
2.1,0.18951,3.40504,7.51413,2
2.2,0.18953,3.40535,7.51412,2
2.3,0.18954,3.40565,7.5141,2
2.4,0.18955,3.40595,7.51409,2
2.5,0.18956,3.40625,7.51407,2
2.6,0.18958,3.40654,7.51406,2
2.7,0.18959,3.40684,7.51405,2
2.8,0.1896,3.40713,7.51403,2
2.9,0.18961,3.40742,7.51402,2
3,0.18962,3.40771,7.514,2
3.1,0.18964,3.40799,7.51399,2
3.2,0.18965,3.40828,7.51397,2
3.3,0.18966,3.40856,7.51396,2
3.4,0.18967,3.40884,7.51395,2
3.5,0.18968,3.40911,7.51393,2
3.6,0.1897,3.40939,7.51392,2
3.7,0.18971,3.40966,7.51391,2
3.8,0.18972,3.40993,7.51389,2
3.9,0.18973,3.4102,7.51388,2
4,0.18974,3.41047,7.51386,2
4.1,0.18975,3.41073,7.51385,2
4.2,0.18977,3.411,7.51384,2
4.3,0.18978,3.41126,7.51382,2
4.4,0.18979,3.41152,7.51381,2
4.5,0.1898,3.41177,7.5138,2
4.6,0.18981,3.41203,7.51378,2
4.7,0.18982,3.41228,7.51377,2
4.8,0.18983,3.41253,7.51375,2
4.9,0.18985,3.41278,7.51374,2
5,0.18986,3.41303,7.51373,2
5.1,0.18987,3.41327,7.51371,2
5.2,0.18988,3.41352,7.5137,2
5.3,0.18989,3.41376,7.51369,2
5.4,0.1899,3.414,7.51367,2
5.5,0.18991,3.41423,7.51366,2
5.6,0.18992,3.41447,7.51365,2
5.7,0.18993,3.4147,7.51364,2
5.8,0.18994,3.41493,7.51362,2
5.9,0.18996,3.41516,7.51361,2
6,0.18997,3.41539,7.5136,2
6.1,0.18998,3.41562,7.51358,2
6.2,0.18999,3.41584,7.51357,2
6.3,0.19,3.41606,7.51356,2
6.4,0.19001,3.41628,7.51354,2
6.5,0.19002,3.4165,7.51353,2
6.6,0.19003,3.41672,7.51352,2
6.7,0.19004,3.41693,7.51351,2
6.8,0.19005,3.41715,7.51349,2
6.9,0.19006,3.41736,7.51348,2
7,0.19007,3.41757,7.51347,2
7.1,0.19008,3.41778,7.51345,2
7.2,0.19009,3.41798,7.51344,2
7.3,0.1901,3.41819,7.51343,2
7.4,0.19011,3.41839,7.51342,2
7.5,0.19012,3.41859,7.5134,2
7.6,0.19013,3.41879,7.51339,2
7.7,0.19014,3.41898,7.51338,2
7.8,0.19015,3.41918,7.51337,2
7.9,0.19016,3.41937,7.51335,2
8,0.19017,3.41956,7.51334,2
8.1,0.19018,3.41975,7.51333,2
8.2,0.19019,3.41994,7.51332,2
8.3,0.1902,3.42013,7.51331,2
8.4,0.19021,3.42031,7.51329,2
8.5,0.19022,3.42049,7.51328,2
8.6,0.19023,3.42068,7.51327,2
8.7,0.19024,3.42085,7.51326,2
8.8,0.19025,3.42103,7.51324,2
8.9,0.19026,3.42121,7.51323,2
9,0.19027,3.42138,7.51322,2
