Time (s),HB (mM),Glu (mM),pH,label
0.1,0.03091,5.65535,7.63683,0
0.2,0.03091,5.65536,7.63683,0
0.3,0.03091,5.65536,7.63683,0
0.4,0.0309,5.65536,7.63683,0
0.5,0.0309,5.65536,7.63683,0
0.6,0.0309,5.65536,7.63683,0
0.7,0.0309,5.65536,7.63683,0
0.8,0.0309,5.65536,7.63683,0
0.9,0.0309,5.65536,7.63683,0
1,0.03089,5.65536,7.63848,0
1.1,0.03089,5.65536,7.63683,0
1.2,0.03089,5.65536,7.63683,0
1.3,0.03089,5.65536,7.63848,0
1.4,0.03089,5.65536,7.63683,0
1.5,0.03089,5.65536,7.63683,0
1.6,0.03089,5.65536,7.63683,0
1.7,0.03089,5.65535,7.63683,0
1.8,0.03089,5.65535,7.63683,0
1.9,0.03089,5.65535,7.63683,0
2,0.03088,5.65535,7.63683,0
2.1,0.03088,5.65535,7.63683,0
2.2,0.03088,5.65534,7.63683,0
2.3,0.03088,5.65534,7.63683,0
2.4,0.03088,5.65533,7.63683,0
2.5,0.03088,5.65533,7.63683,0
2.6,0.03088,5.65533,7.63683,0
2.7,0.03088,5.65533,7.63683,0
2.8,0.03087,5.65533,7.63683,0
2.9,0.03087,5.65532,7.63683,0
3,0.03087,5.65532,7.63683,0
3.1,0.03087,5.65531,7.63683,0
3.2,0.03087,5.65531,7.63683,0
3.3,0.03087,5.65531,7.63683,0
3.4,0.03087,5.65531,7.63683,0
3.5,0.03087,5.65531,7.63683,0
3.6,0.03087,5.65531,7.63683,0
3.7,0.03087,5.65531,7.63683,0
3.8,0.03087,5.65531,7.63683,0
3.9,0.03087,5.6553,7.63683,0
4,0.03087,5.6553,7.63683,0
4.1,0.03086,5.6553,7.63683,0
4.2,0.03086,5.6553,7.63683,0
4.3,0.03086,5.65529,7.63683,0
4.4,0.03086,5.65529,7.63848,0
4.5,0.03086,5.65529,7.63683,0
4.6,0.03086,5.65529,7.63683,0
4.7,0.03086,5.65529,7.63683,0
4.8,0.03086,5.65529,7.63683,0
4.9,0.03086,5.65529,7.63683,0
5,0.03086,5.65529,7.63683,0
5.1,0.03085,5.65529,7.63683,0
5.2,0.03085,5.65529,7.63848,0
5.3,0.03085,5.65529,7.63683,0
5.4,0.03085,5.65529,7.63683,0
5.5,0.03085,5.65529,7.63683,0
5.6,0.03085,5.65529,7.63683,0
5.7,0.03085,5.65529,7.63683,0
5.8,0.03085,5.65529,7.63683,0
5.9,0.03085,5.65529,7.63683,0
6,0.03084,5.65529,7.63683,0
6.1,0.03084,5.6553,7.63683,0
6.2,0.03084,5.6553,7.63683,0
6.3,0.03084,5.6553,7.63683,0
6.4,0.03084,5.65531,7.63683,0
6.5,0.03084,5.65531,7.63683,0
6.6,0.03084,5.65532,7.63683,0
6.7,0.03084,5.65532,7.63683,0
6.8,0.03084,5.65533,7.63683,0
6.9,0.03084,5.65534,7.63683,0
7,0.03084,5.65534,7.63683,0
7.1,0.03084,5.65535,7.63683,0
7.2,0.03084,5.65536,7.63683,0
7.3,0.03084,5.65536,7.63683,0
7.4,0.03084,5.65537,7.63683,0
7.5,0.03083,5.65538,7.63683,0
7.6,0.03083,5.65538,7.63683,0
7.7,0.03083,5.65539,7.63683,0
7.8,0.03083,5.6554,7.63683,0
7.9,0.03083,5.65541,7.63683,0
8,0.03083,5.65543,7.63683,0
8.1,0.03083,5.65544,7.63683,0
8.2,0.03083,5.65545,7.63683,0
8.3,0.03083,5.65545,7.63683,0
8.4,0.03083,5.65546,7.63683,0
8.5,0.03083,5.65547,7.63683,0
8.6,0.03083,5.65548,7.63683,0
8.7,0.03083,5.65549,7.63683,0
8.8,0.03083,5.6555,7.63683,0
8.9,0.03083,5.65551,7.63683,0
9,0.03083,5.65552,7.63683,0
9.1,0.03083,5.65553,7.63683,0
9.2,0.03083,5.65554,7.63683,0
9.3,0.03082,5.65555,7.63683,0
9.4,0.03082,5.65556,7.63683,0
9.5,0.03082,5.65557,7.63683,0
9.6,0.03082,5.65558,7.63683,0
9.7,0.03082,5.65559,7.63683,0
9.8,0.03082,5.6556,7.63683,0
9.9,0.03082,5.65561,7.63683,0
10,0.03082,5.65562,7.63683,0
10.1,0.03082,5.65563,7.63683,0
10.2,0.03082,5.65564,7.63683,0
10.3,0.03082,5.65564,7.63683,0
10.4,0.03081,5.65564,7.63683,0
10.5,0.03081,5.65565,7.63683,0
10.6,0.03081,5.65565,7.63683,0
10.7,0.03081,5.65565,7.63683,0
10.8,0.03081,5.65566,7.63683,0
10.9,0.03081,5.65566,7.63683,0
11,0.03081,5.65566,7.63683,0
11.1,0.0308,5.65567,7.63683,0
11.2,0.0308,5.65567,7.63683,0
11.3,0.0308,5.65567,7.63683,0
11.4,0.0308,5.65567,7.63683,0
11.5,0.0308,5.65567,7.63683,0
11.6,0.0308,5.65568,7.63683,0
11.7,0.0308,5.65568,7.63683,0
11.8,0.03079,5.65568,7.63683,0
11.9,0.03079,5.65568,7.63683,0
12,0.03079,5.65568,7.63683,0
12.1,0.03079,5.65567,7.63683,0
12.2,0.03079,5.65567,7.63683,0
12.3,0.03079,5.65567,7.63683,0
12.4,0.03079,5.65567,7.63683,0
12.5,0.03078,5.65567,7.63683,0
12.6,0.03078,5.65567,7.63683,0
12.7,0.03078,5.65567,7.63683,0
12.8,0.03078,5.65567,7.63683,0
12.9,0.03078,5.65566,7.63683,0
