Time (s),HB (mM),Glu (mM),pH,label
0.1,0.10459,2.47984,7.46449,2
0.2,0.1046,2.47976,7.46448,2
0.3,0.10461,2.47968,7.46447,2
0.4,0.10461,2.4796,7.46447,2
0.5,0.10462,2.47953,7.46446,2
0.6,0.10462,2.47945,7.46446,2
0.7,0.10463,2.47937,7.46445,2
0.8,0.10463,2.4793,7.46445,2
0.9,0.10464,2.47922,7.46444,2
1,0.10465,2.47914,7.46444,2
1.1,0.10465,2.47907,7.46443,2
1.2,0.10466,2.47899,7.46443,2
1.3,0.10466,2.47892,7.46442,2
1.4,0.10467,2.47884,7.46442,2
1.5,0.10467,2.47877,7.46441,2
1.6,0.10468,2.47869,7.46441,2
1.7,0.10468,2.47862,7.4644,2
1.8,0.10469,2.47855,7.4644,2
1.9,0.10469,2.47847,7.46439,2
2,0.1047,2.4784,7.46439,2
2.1,0.1047,2.47833,7.46438,2
2.2,0.10471,2.47826,7.46438,2
2.3,0.10471,2.47818,7.46437,2
2.4,0.10472,2.47811,7.46437,2
2.5,0.10472,2.47804,7.46436,2
2.6,0.10473,2.47797,7.46436,2
2.7,0.10473,2.4779,7.46435,2
2.8,0.10474,2.47783,7.46435,2
2.9,0.10474,2.47776,7.46435,2
3,0.10475,2.47769,7.46434,2
3.1,0.10475,2.47762,7.46434,2
3.2,0.10476,2.47755,7.46433,2
3.3,0.10476,2.47748,7.46433,2
3.4,0.10477,2.47741,7.46433,2
3.5,0.10477,2.47735,7.46432,2
3.6,0.10478,2.47728,7.46432,2
3.7,0.10478,2.47721,7.46431,2
3.8,0.10479,2.47714,7.46431,2
3.9,0.10479,2.47708,7.46431,2
4,0.10479,2.47701,7.4643,2
4.1,0.1048,2.47695,7.4643,2
4.2,0.1048,2.47688,7.46429,2
4.3,0.10481,2.47681,7.46429,2
4.4,0.10481,2.47675,7.46429,2
4.5,0.10482,2.47668,7.46428,2
4.6,0.10482,2.47662,7.46428,2
4.7,0.10482,2.47655,7.46428,2
4.8,0.10483,2.47649,7.46427,2
4.9,0.10483,2.47643,7.46427,2
5,0.10484,2.47636,7.46427,2
5.1,0.10484,2.4763,7.46426,2
5.2,0.10485,2.47624,7.46426,2
5.3,0.10485,2.47618,7.46426,2
5.4,0.10485,2.47611,7.46425,2
5.5,0.10486,2.47605,7.46425,2
5.6,0.10486,2.47599,7.46425,2
5.7,0.10487,2.47593,7.46424,2
5.8,0.10487,2.47587,7.46424,2
5.9,0.10487,2.47581,7.46424,2
6,0.10488,2.47575,7.46423,2
6.1,0.10488,2.47569,7.46423,2
6.2,0.10488,2.47563,7.46423,2
6.3,0.10489,2.47557,7.46422,2
6.4,0.10489,2.47551,7.46422,2
6.5,0.1049,2.47545,7.46422,2
6.6,0.1049,2.47539,7.46422,2
6.7,0.1049,2.47533,7.46421,2
6.8,0.10491,2.47527,7.46421,2
6.9,0.10491,2.47522,7.46421,2
7,0.10491,2.47516,7.46421,2
7.1,0.10492,2.4751,7.4642,2
7.2,0.10492,2.47504,7.4642,2
7.3,0.10492,2.47499,7.4642,2
7.4,0.10493,2.47493,7.4642,2
7.5,0.10493,2.47488,7.46419,2
7.6,0.10493,2.47482,7.46419,2
7.7,0.10494,2.47476,7.46419,2
7.8,0.10494,2.47471,7.46419,2
7.9,0.10494,2.47465,7.46418,2
8,0.10495,2.4746,7.46418,2
8.1,0.10495,2.47455,7.46418,2
8.2,0.10495,2.47449,7.46418,2
8.3,0.10496,2.47444,7.46417,2
8.4,0.10496,2.47438,7.46417,2
8.5,0.10496,2.47433,7.46417,2
8.6,0.10496,2.47428,7.46417,2
8.7,0.10497,2.47423,7.46417,2
8.8,0.10497,2.47417,7.46416,2
8.9,0.10497,2.47412,7.46416,2
9,0.10498,2.47407,7.46416,2
9.1,0.10498,2.47402,7.46416,2
9.2,0.10498,2.47397,7.46416,2
9.3,0.10498,2.47391,7.46415,2
9.4,0.10499,2.47386,7.46415,2
9.5,0.10499,2.47381,7.46415,2
9.6,0.10499,2.47376,7.46415,2
9.7,0.105,2.47371,7.46415,2
9.8,0.105,2.47366,7.46415,2
9.9,0.105,2.47361,7.46414,2
10,0.105,2.47357,7.46414,2
10.1,0.10501,2.47352,7.46414,2
10.2,0.10501,2.47347,7.46414,2
10.3,0.10501,2.47342,7.46414,2
10.4,0.10501,2.47337,7.46414,2
10.5,0.10502,2.47332,7.46413,2
10.6,0.10502,2.47328,7.46413,2
10.7,0.10502,2.47323,7.46413,2
10.8,0.10502,2.47318,7.46413,2
10.9,0.10503,2.47314,7.46413,2
11,0.10503,2.47309,7.46413,2
11.1,0.10503,2.47304,7.46413,2
11.2,0.10503,2.473,7.46412,2
11.3,0.10503,2.47295,7.46412,2
11.4,0.10504,2.47291,7.46412,2
11.5,0.10504,2.47286,7.46412,2
11.6,0.10504,2.47282,7.46412,2
11.7,0.10504,2.47277,7.46412,2
11.8,0.10504,2.47273,7.46412,2
11.9,0.10505,2.47268,7.46412,2
12,0.10505,2.47264,7.46412,2
12.1,0.10505,2.4726,7.46411,2
12.2,0.10505,2.47255,7.46411,2
12.3,0.10505,2.47251,7.46411,2
12.4,0.10506,2.47247,7.46411,2
12.5,0.10506,2.47242,7.46411,2
12.6,0.10506,2.47238,7.46411,2
12.7,0.10506,2.47234,7.46411,2
12.8,0.10506,2.4723,7.46411,2
12.9,0.10507,2.47226,7.46411,2
13,0.10507,2.47221,7.46411,2
13.1,0.10507,2.47217,7.4641,2
13.2,0.10507,2.47213,7.4641,2
13.3,0.10507,2.47209,7.4641,2
13.4,0.10507,2.47205,7.4641,2
13.5,0.10508,2.47201,7.4641,2
13.6,0.10508,2.47197,7.4641,2
13.7,0.10508,2.47193,7.4641,2
13.8,0.10508,2.47189,7.4641,2
13.9,0.10508,2.47185,7.4641,2
14,0.10508,2.47181,7.4641,2
14.1,0.10508,2.47178,7.4641,2
14.2,0.10509,2.47174,7.4641,2
14.3,0.10509,2.4717,7.4641,2
14.4,0.10509,2.47166,7.4641,2
14.5,0.10509,2.47162,7.4641,2
14.6,0.10509,2.47159,7.46409,2
14.7,0.10509,2.47155,7.46409,2
14.8,0.10509,2.47151,7.46409,2
14.9,0.1051,2.47147,7.46409,2
15,0.1051,2.47144,7.46409,2
15.1,0.1051,2.4714,7.46409,2
15.2,0.1051,2.47137,7.46409,2
15.3,0.1051,2.47133,7.46409,2
