Time (s),HB (mM),Glu (mM),pH,label
0.1,0.12904,2.08318,7.48135,2
0.2,0.12904,2.08318,7.48135,2
0.3,0.12903,2.08317,7.48135,2
0.4,0.12903,2.08316,7.48135,2
0.5,0.12903,2.08316,7.48135,2
0.6,0.12903,2.08315,7.48135,2
0.7,0.12903,2.08315,7.48135,2
0.8,0.12903,2.08314,7.48134,2
0.9,0.12902,2.08313,7.48134,2
1,0.12902,2.08313,7.48134,2
1.1,0.12902,2.08312,7.48134,2
1.2,0.12902,2.08312,7.48134,2
1.3,0.12902,2.08311,7.48134,2
1.4,0.12902,2.08311,7.48134,2
1.5,0.12902,2.0831,7.48134,2
1.6,0.12901,2.08309,7.48134,2
1.7,0.12901,2.08309,7.48134,2
1.8,0.12901,2.08308,7.48134,2
1.9,0.12901,2.08308,7.48133,2
2,0.12901,2.08307,7.48133,2
2.1,0.12901,2.08307,7.48133,2
2.2,0.12901,2.08306,7.48133,2
2.3,0.129,2.08305,7.48133,2
2.4,0.129,2.08305,7.48133,2
2.5,0.129,2.08305,7.48133,2
2.6,0.129,2.08304,7.48133,2
2.7,0.129,2.08303,7.48133,2
2.8,0.129,2.08303,7.48132,2
2.9,0.129,2.08302,7.48132,2
3,0.12899,2.08302,7.48132,2
3.1,0.12899,2.08301,7.48132,2
3.2,0.12899,2.08301,7.48132,2
3.3,0.12899,2.083,7.48132,2
3.4,0.12899,2.083,7.48132,2
3.5,0.12899,2.08299,7.48132,2
3.6,0.12899,2.08299,7.48132,2
3.7,0.12898,2.08298,7.48132,2
3.8,0.12898,2.08298,7.48132,2
3.9,0.12898,2.08297,7.48132,2
4,0.12898,2.08297,7.48131,2
4.1,0.12898,2.08297,7.48131,2
4.2,0.12898,2.08296,7.48131,2
4.3,0.12898,2.08296,7.48131,2
4.4,0.12897,2.08296,7.48131,2
4.5,0.12897,2.08296,7.48131,2
4.6,0.12897,2.08295,7.48131,2
4.7,0.12897,2.08295,7.48131,2
4.8,0.12897,2.08295,7.48131,2
4.9,0.12897,2.08294,7.4813,2
5,0.12897,2.08294,7.48131,2
5.1,0.12897,2.08294,7.4813,2
5.2,0.12896,2.08294,7.4813,2
5.3,0.12896,2.08293,7.4813,2
5.4,0.12896,2.08293,7.4813,2
5.5,0.12896,2.08293,7.4813,2
5.6,0.12896,2.08292,7.4813,2
5.7,0.12896,2.08292,7.4813,2
5.8,0.12896,2.08292,7.4813,2
5.9,0.12895,2.08291,7.48129,2
6,0.12895,2.08291,7.48129,2
6.1,0.12895,2.0829,7.48129,2
6.2,0.12895,2.0829,7.48129,2
6.3,0.12895,2.0829,7.48129,2
6.4,0.12895,2.0829,7.48129,2
6.5,0.12895,2.08289,7.48129,2
6.6,0.12895,2.08289,7.48128,2
6.7,0.12894,2.08288,7.48128,2
6.8,0.12894,2.08288,7.48128,2
6.9,0.12894,2.08288,7.48128,2
7,0.12894,2.08287,7.48128,2
7.1,0.12894,2.08287,7.48128,2
7.2,0.12894,2.08286,7.48128,2
7.3,0.12894,2.08286,7.48127,2
7.4,0.12894,2.08285,7.48127,2
7.5,0.12894,2.08285,7.48127,2
7.6,0.12893,2.08285,7.48127,2
7.7,0.12893,2.08284,7.48127,2
7.8,0.12893,2.08284,7.48127,2
7.9,0.12893,2.08283,7.48126,2
8,0.12893,2.08283,7.48126,2
8.1,0.12893,2.08283,7.48126,2
8.2,0.12893,2.08283,7.48126,2
8.3,0.12893,2.08282,7.48126,2
8.4,0.12892,2.08282,7.48126,2
8.5,0.12892,2.08281,7.48125,2
8.6,0.12892,2.08281,7.48125,2
8.7,0.12892,2.08281,7.48125,2
8.8,0.12892,2.08281,7.48125,2
8.9,0.12892,2.0828,7.48125,2
9,0.12892,2.0828,7.48125,2
9.1,0.12892,2.0828,7.48125,2
9.2,0.12892,2.08279,7.48125,2
9.3,0.12892,2.08279,7.48124,2
9.4,0.12892,2.08278,7.48124,2
9.5,0.12891,2.08278,7.48124,2
9.6,0.12891,2.08277,7.48124,2
9.7,0.12891,2.08277,7.48124,2
9.8,0.12891,2.08276,7.48124,2
9.9,0.12891,2.08276,7.48123,2
10,0.12891,2.08275,7.48123,2
10.1,0.12891,2.08275,7.48123,2
10.2,0.12891,2.08275,7.48123,2
10.3,0.12891,2.08274,7.48123,2
10.4,0.1289,2.08273,7.48123,2
10.5,0.1289,2.08273,7.48123,2
10.6,0.1289,2.08273,7.48122,2
10.7,0.1289,2.08273,7.48122,2
10.8,0.1289,2.08273,7.48122,2
10.9,0.1289,2.08273,7.48122,2
11,0.1289,2.08272,7.48122,2
11.1,0.1289,2.08272,7.48122,2
11.2,0.1289,2.08272,7.48122,2
11.3,0.1289,2.08272,7.48121,2
11.4,0.1289,2.08272,7.48121,2
11.5,0.12889,2.08272,7.48121,2
11.6,0.12889,2.08272,7.48121,2
11.7,0.12889,2.08272,7.48121,2
11.8,0.12889,2.08272,7.48121,2
11.9,0.12889,2.08272,7.4812,2
12,0.12889,2.08272,7.4812,2
12.1,0.12889,2.08272,7.4812,2
12.2,0.12889,2.08273,7.4812,2
12.3,0.12889,2.08272,7.4812,2
12.4,0.12889,2.08272,7.4812,2
12.5,0.12888,2.08271,7.4812,2
12.6,0.12888,2.08271,7.4812,2
12.7,0.12888,2.08271,7.4812,2
12.8,0.12888,2.0827,7.48119,2
12.9,0.12888,2.0827,7.48119,2
13,0.12888,2.08269,7.48119,2
13.1,0.12888,2.08269,7.48119,2
13.2,0.12888,2.08269,7.48119,2
13.3,0.12888,2.08269,7.48119,2
13.4,0.12888,2.08269,7.48119,2
13.5,0.12888,2.08268,7.48118,2
13.6,0.12887,2.08268,7.48118,2
13.7,0.12887,2.08268,7.48118,2
13.8,0.12887,2.08267,7.48118,2
13.9,0.12887,2.08267,7.48118,2
14,0.12887,2.08267,7.48118,2
14.1,0.12887,2.08267,7.48118,2
14.2,0.12887,2.08267,7.48118,2
14.3,0.12887,2.08267,7.48117,2
14.4,0.12887,2.08267,7.48117,2
14.5,0.12887,2.08267,7.48117,2
14.6,0.12887,2.08267,7.48117,2
14.7,0.12887,2.08267,7.48117,2
14.8,0.12887,2.08267,7.48117,2
14.9,0.12887,2.08267,7.48116,2
15,0.12886,2.08266,7.48116,2
15.1,0.12886,2.08266,7.48116,2
15.2,0.12886,2.08266,7.48116,2
15.3,0.12886,2.08266,7.48116,2
15.4,0.12886,2.08266,7.48116,2
