Time (s),HB (mM),Glu (mM),pH,label
0.1,0.10655,2.53575,7.57838,3
0.2,0.10657,2.53599,7.57839,3
0.3,0.10659,2.53623,7.5784,3
0.4,0.10662,2.53647,7.57841,3
0.5,0.10664,2.5367,7.57842,3
0.6,0.10666,2.53694,7.57843,3
0.7,0.10668,2.53718,7.57844,3
0.8,0.1067,2.53741,7.57845,3
0.9,0.10673,2.53764,7.57846,3
1,0.10675,2.53788,7.57847,3
1.1,0.10677,2.53811,7.57848,3
1.2,0.10679,2.53834,7.57849,3
1.3,0.10681,2.53857,7.57849,3
1.4,0.10683,2.5388,7.5785,3
1.5,0.10686,2.53902,7.57851,3
1.6,0.10688,2.53925,7.57852,3
1.7,0.1069,2.53948,7.57852,3
1.8,0.10692,2.5397,7.57853,3
1.9,0.10694,2.53993,7.57854,3
2,0.10696,2.54015,7.57854,3
2.1,0.10699,2.54037,7.57855,3
2.2,0.10701,2.54059,7.57855,3
2.3,0.10703,2.54081,7.57856,3
2.4,0.10705,2.54103,7.57856,3
2.5,0.10707,2.54125,7.57857,3
2.6,0.10709,2.54147,7.57857,3
2.7,0.10711,2.54168,7.57858,3
2.8,0.10713,2.5419,7.57858,3
2.9,0.10716,2.54211,7.57858,3
3,0.10718,2.54233,7.57859,3
3.1,0.1072,2.54254,7.57859,3
3.2,0.10722,2.54275,7.57859,3
3.3,0.10724,2.54296,7.5786,3
3.4,0.10726,2.54317,7.5786,3
3.5,0.10728,2.54338,7.5786,3
3.6,0.1073,2.54359,7.57861,3
3.7,0.10732,2.5438,7.57861,3
3.8,0.10734,2.544,7.57861,3
3.9,0.10737,2.54421,7.57861,3
4,0.10739,2.54441,7.57861,3
4.1,0.10741,2.54462,7.57861,3
4.2,0.10743,2.54482,7.57861,3
4.3,0.10745,2.54502,7.57861,3
4.4,0.10747,2.54522,7.57862,3
4.5,0.10749,2.54542,7.57862,3
4.6,0.10751,2.54562,7.57862,3
4.7,0.10753,2.54582,7.57862,3
4.8,0.10755,2.54602,7.57861,3
4.9,0.10757,2.54621,7.57861,3
5,0.10759,2.54641,7.57861,3
5.1,0.10761,2.5466,7.57861,3
5.2,0.10763,2.5468,7.57861,3
5.3,0.10765,2.54699,7.57861,3
5.4,0.10767,2.54718,7.57861,3
5.5,0.10769,2.54737,7.57861,3
5.6,0.10771,2.54756,7.5786,3
5.7,0.10773,2.54775,7.5786,3
5.8,0.10775,2.54794,7.5786,3
5.9,0.10777,2.54813,7.5786,3
6,0.10779,2.54832,7.57859,3
6.1,0.10781,2.5485,7.57859,3
6.2,0.10783,2.54869,7.57859,3
6.3,0.10785,2.54887,7.57858,3
6.4,0.10787,2.54906,7.57858,3
6.5,0.10789,2.54924,7.57858,3
6.6,0.10791,2.54942,7.57857,3
6.7,0.10793,2.5496,7.57857,3
6.8,0.10795,2.54978,7.57856,3
6.9,0.10797,2.54996,7.57856,3
7,0.10799,2.55014,7.57856,3
7.1,0.10801,2.55032,7.57855,3
7.2,0.10803,2.55049,7.57855,3
7.3,0.10805,2.55067,7.57854,3
7.4,0.10807,2.55085,7.57853,3
7.5,0.10809,2.55102,7.57853,3
7.6,0.10811,2.55119,7.57852,3
7.7,0.10813,2.55137,7.57852,3
7.8,0.10815,2.55154,7.57851,3
7.9,0.10817,2.55171,7.5785,3
8,0.10818,2.55188,7.5785,3
8.1,0.1082,2.55205,7.57849,3
8.2,0.10822,2.55222,7.57848,3
8.3,0.10824,2.55238,7.57848,3
8.4,0.10826,2.55255,7.57847,3
8.5,0.10828,2.55272,7.57846,3
8.6,0.1083,2.55288,7.57846,3
8.7,0.10832,2.55305,7.57845,3
8.8,0.10834,2.55321,7.57844,3
8.9,0.10836,2.55337,7.57843,3
9,0.10837,2.55354,7.57842,3
9.1,0.10839,2.5537,7.57842,3
9.2,0.10841,2.55386,7.57841,3
9.3,0.10843,2.55402,7.5784,3
9.4,0.10845,2.55418,7.57839,3
9.5,0.10847,2.55433,7.57838,3
9.6,0.10849,2.55449,7.57837,3
9.7,0.1085,2.55465,7.57836,3
9.8,0.10852,2.5548,7.57835,3
9.9,0.10854,2.55496,7.57834,3
10,0.10856,2.55511,7.57833,3
10.1,0.10858,2.55527,7.57832,3
10.2,0.1086,2.55542,7.57831,3
10.3,0.10861,2.55557,7.5783,3
10.4,0.10863,2.55572,7.57829,3
10.5,0.10865,2.55587,7.57828,3
10.6,0.10867,2.55602,7.57827,3
10.7,0.10869,2.55617,7.57826,3
10.8,0.10871,2.55632,7.57825,3
10.9,0.10872,2.55646,7.57824,3
11,0.10874,2.55661,7.57823,3
11.1,0.10876,2.55676,7.57822,3
11.2,0.10878,2.5569,7.57821,3
11.3,0.10879,2.55704,7.5782,3
11.4,0.10881,2.55719,7.57818,3
11.5,0.10883,2.55733,7.57817,3
11.6,0.10885,2.55747,7.57816,3
11.7,0.10887,2.55761,7.57815,3
11.8,0.10888,2.55775,7.57814,3
11.9,0.1089,2.55789,7.57812,3
12,0.10892,2.55803,7.57811,3
12.1,0.10894,2.55817,7.5781,3
12.2,0.10895,2.55831,7.57809,3
12.3,0.10897,2.55844,7.57807,3
12.4,0.10899,2.55858,7.57806,3
12.5,0.109,2.55871,7.57805,3
12.6,0.10902,2.55885,7.57803,3
12.7,0.10904,2.55898,7.57802,3
12.8,0.10906,2.55912,7.57801,3
12.9,0.10907,2.55925,7.57799,3
13,0.10909,2.55938,7.57798,3
13.1,0.10911,2.55951,7.57797,3
13.2,0.10912,2.55964,7.57795,3
13.3,0.10914,2.55977,7.57794,3
13.4,0.10916,2.5599,7.57792,3
13.5,0.10917,2.56002,7.57791,3
13.6,0.10919,2.56015,7.57789,3
13.7,0.10921,2.56028,7.57788,3
13.8,0.10922,2.5604,7.57787,3
13.9,0.10924,2.56053,7.57785,3
14,0.10926,2.56065,7.57784,3
14.1,0.10927,2.56078,7.57782,3
14.2,0.10929,2.5609,7.57781,3
14.3,0.10931,2.56102,7.57779,3
14.4,0.10932,2.56114,7.57778,3
14.5,0.10934,2.56126,7.57776,3
14.6,0.10936,2.56138,7.57775,3
14.7,0.10937,2.5615,7.57773,3
