Time (s),HB (mM),Glu (mM),pH,label
0.1,0.04707,3.80658,7.52964,2
0.2,0.04707,3.80668,7.52963,2
0.3,0.04708,3.80677,7.52962,2
0.4,0.04709,3.80687,7.52962,2
0.5,0.0471,3.80697,7.52961,2
0.6,0.04711,3.80707,7.52961,2
0.7,0.04711,3.80717,7.5296,2
0.8,0.04712,3.80727,7.5296,2
0.9,0.04713,3.80737,7.52959,2
1,0.04714,3.80746,7.52959,2
1.1,0.04715,3.80756,7.52958,2
1.2,0.04716,3.80766,7.52958,2
1.3,0.04717,3.80776,7.52957,2
1.4,0.04717,3.80786,7.52957,2
1.5,0.04718,3.80796,7.52956,2
1.6,0.04719,3.80806,7.52956,2
1.7,0.0472,3.80815,7.52955,2
1.8,0.04721,3.80825,7.52955,2
1.9,0.04722,3.80835,7.52954,2
2,0.04723,3.80845,7.52954,2
2.1,0.04723,3.80855,7.52953,2
2.2,0.04724,3.80865,7.52953,2
2.3,0.04725,3.80875,7.52952,2
2.4,0.04726,3.80885,7.52952,2
2.5,0.04727,3.80895,7.52952,2
2.6,0.04728,3.80905,7.52951,2
2.7,0.04729,3.80915,7.52951,2
2.8,0.0473,3.80925,7.5295,2
2.9,0.04731,3.80936,7.5295,2
3,0.04732,3.80946,7.52949,2
3.1,0.04733,3.80957,7.52949,2
3.2,0.04734,3.80968,7.52949,2
3.3,0.04735,3.80979,7.52948,2
3.4,0.04736,3.8099,7.52948,2
3.5,0.04737,3.81001,7.52947,2
3.6,0.04738,3.81013,7.52947,2
3.7,0.04739,3.81024,7.52946,2
3.8,0.0474,3.81035,7.52946,2
3.9,0.04741,3.81046,7.52946,2
4,0.04741,3.81057,7.52945,2
4.1,0.04742,3.81068,7.52945,2
4.2,0.04743,3.81079,7.52944,2
4.3,0.04744,3.81089,7.52944,2
4.4,0.04745,3.811,7.52944,2
4.5,0.04746,3.81111,7.52943,2
4.6,0.04747,3.81125,7.52943,2
4.7,0.04748,3.8114,7.52943,2
4.8,0.04749,3.81153,7.52942,2
4.9,0.0475,3.81165,7.52942,2
5,0.04751,3.81178,7.52941,2
5.1,0.04752,3.8119,7.52941,2
5.2,0.04753,3.81202,7.52941,2
5.3,0.04754,3.81213,7.5294,2
5.4,0.04755,3.81223,7.5294,2
5.5,0.04757,3.81234,7.5294,2
5.6,0.04758,3.81245,7.52939,2
5.7,0.04759,3.81256,7.52939,2
5.8,0.0476,3.81267,7.52938,2
5.9,0.04761,3.81278,7.52938,2
6,0.04762,3.81288,7.52938,2
6.1,0.04763,3.81299,7.52937,2
6.2,0.04764,3.8131,7.52937,2
6.3,0.04765,3.81321,7.52936,2
6.4,0.04766,3.81331,7.52936,2
6.5,0.04767,3.81342,7.52936,2
6.6,0.04768,3.81352,7.52935,2
6.7,0.04769,3.81362,7.52935,2
6.8,0.0477,3.81373,7.52935,2
6.9,0.04771,3.81383,7.52934,2
7,0.04773,3.81393,7.52934,2
7.1,0.04774,3.81403,7.52934,2
7.2,0.04775,3.81414,7.52933,2
7.3,0.04776,3.81424,7.52933,2
7.4,0.04777,3.81434,7.52932,2
7.5,0.04779,3.81444,7.52932,2
7.6,0.0478,3.81454,7.52932,2
7.7,0.04781,3.81465,7.52931,2
7.8,0.04782,3.81475,7.52931,2
7.9,0.04783,3.81485,7.52931,2
8,0.04784,3.81495,7.5293,2
8.1,0.04785,3.81505,7.5293,2
8.2,0.04786,3.81515,7.5293,2
8.3,0.04787,3.81525,7.52929,2
8.4,0.04788,3.81535,7.52929,2
8.5,0.04789,3.81545,7.52929,2
8.6,0.0479,3.81555,7.52928,2
8.7,0.04791,3.81566,7.52928,2
8.8,0.04792,3.81576,7.52928,2
8.9,0.04794,3.81587,7.52927,2
9,0.04795,3.81597,7.52927,2
9.1,0.04796,3.81608,7.52927,2
9.2,0.04797,3.81619,7.52926,2
9.3,0.04798,3.81629,7.52926,2
9.4,0.04799,3.8164,7.52926,2
9.5,0.048,3.81651,7.52925,2
9.6,0.04801,3.81661,7.52925,2
9.7,0.04802,3.81672,7.52925,2
9.8,0.04803,3.81682,7.52924,2
9.9,0.04804,3.81693,7.52924,2
10,0.04805,3.81703,7.52923,2
10.1,0.04805,3.81713,7.52923,2
10.2,0.04807,3.81723,7.52923,2
10.3,0.04808,3.81733,7.52922,2
10.4,0.04809,3.81743,7.52922,2
10.5,0.0481,3.81753,7.52922,2
10.6,0.04811,3.81763,7.52921,2
10.7,0.04811,3.81774,7.52921,2
10.8,0.04812,3.81784,7.5292,2
10.9,0.04813,3.81795,7.5292,2
11,0.04814,3.81805,7.5292,2
11.1,0.04815,3.81814,7.52919,2
11.2,0.04816,3.81824,7.52919,2
11.3,0.04817,3.81833,7.52918,2
11.4,0.04818,3.81842,7.52918,2
11.5,0.0482,3.81852,7.52918,2
11.6,0.04821,3.81862,7.52917,2
11.7,0.04822,3.81871,7.52917,2
11.8,0.04823,3.81881,7.52917,2
11.9,0.04824,3.81891,7.52916,2
12,0.04825,3.81901,7.52916,2
12.1,0.04826,3.81911,7.52915,2
12.2,0.04827,3.81921,7.52915,2
12.3,0.04828,3.81931,7.52915,2
12.4,0.04829,3.81942,7.52914,2
12.5,0.0483,3.81952,7.52914,2
12.6,0.04832,3.81962,7.52914,2
12.7,0.04833,3.81973,7.52913,2
12.8,0.04834,3.81983,7.52913,2
12.9,0.04835,3.81993,7.52913,2
13,0.04836,3.82002,7.52912,2
13.1,0.04837,3.82012,7.52912,2
13.2,0.04838,3.82021,7.52912,2
13.3,0.04839,3.82031,7.52911,2
13.4,0.0484,3.82041,7.52911,2
13.5,0.04841,3.82051,7.52911,2
13.6,0.04842,3.8206,7.5291,2
13.7,0.04843,3.8207,7.5291,2
13.8,0.04844,3.82079,7.5291,2
13.9,0.04845,3.82088,7.52909,2
14,0.04846,3.82098,7.52909,2
14.1,0.04847,3.82107,7.52908,2
14.2,0.04848,3.82117,7.52908,2
14.3,0.04849,3.82126,7.52908,2
14.4,0.0485,3.82135,7.52907,2
14.5,0.04851,3.82145,7.52907,2
14.6,0.04852,3.82154,7.52907,2
14.7,0.04853,3.82163,7.52906,2
14.8,0.04854,3.82172,7.52906,2
14.9,0.04855,3.8218,7.52905,2
15,0.04856,3.82188,7.52905,2
15.1,0.04857,3.82197,7.52905,2
15.2,0.04859,3.82205,7.52904,2
15.3,0.0486,3.82214,7.52904,2
15.4,0.04861,3.82222,7.52903,2
15.5,0.04862,3.82231,7.52903,2
15.6,0.04863,3.82239,7.52903,2
15.7,0.04864,3.82248,7.52902,2
15.8,0.04865,3.82256,7.52902,2
15.9,0.04866,3.82264,7.52901,2
16,0.04867,3.82273,7.52901,2
16.1,0.04868,3.82282,7.529,2
16.2,0.04869,3.8229,7.529,2
16.3,0.04871,3.82299,7.529,2
16.4,0.04872,3.82307,7.52899,2
16.5,0.04873,3.82316,7.52899,2
16.6,0.04874,3.82324,7.52898,2
16.7,0.04875,3.82333,7.52898,2
16.8,0.04876,3.82341,7.52898,2
16.9,0.04877,3.82349,7.52897,2
17,0.04878,3.82357,7.52897,2
17.1,0.04879,3.82365,7.52896,2
17.2,0.0488,3.82373,7.52896,2
17.3,0.04881,3.8238,7.52895,2
17.4,0.04882,3.82388,7.52895,2
17.5,0.04884,3.82396,7.52895,2
17.6,0.04885,3.82404,7.52894,2
17.7,0.04886,3.82411,7.52894,2
17.8,0.04887,3.82419,7.52893,2
17.9,0.04888,3.82426,7.52893,2
