Time (s),HB (mM),Glu (mM),pH,label
0.1,0.19155,2.70899,7.4792,3
0.2,0.19155,2.70897,7.4793,3
0.3,0.19155,2.70895,7.47941,3
0.4,0.19155,2.70893,7.47951,3
0.5,0.19155,2.70892,7.47961,3
0.6,0.19155,2.7089,7.47972,3
0.7,0.19155,2.70888,7.47982,3
0.8,0.19155,2.70886,7.47992,3
0.9,0.19155,2.70885,7.48002,3
1,0.19156,2.70883,7.48012,3
1.1,0.19156,2.70881,7.48022,3
1.2,0.19156,2.7088,7.48032,3
1.3,0.19156,2.70878,7.48042,3
1.4,0.19156,2.70876,7.48052,3
1.5,0.19156,2.70874,7.48062,3
1.6,0.19156,2.70873,7.48072,3
1.7,0.19156,2.70871,7.48082,3
1.8,0.19156,2.70869,7.48092,3
1.9,0.19156,2.70868,7.48101,3
2,0.19156,2.70866,7.48111,3
2.1,0.19156,2.70864,7.48121,3
2.2,0.19156,2.70863,7.4813,3
2.3,0.19156,2.70861,7.4814,3
2.4,0.19156,2.7086,7.48149,3
2.5,0.19156,2.70858,7.48159,3
2.6,0.19156,2.70856,7.48168,3
2.7,0.19156,2.70855,7.48177,3
2.8,0.19156,2.70853,7.48187,3
2.9,0.19156,2.70851,7.48196,3
3,0.19156,2.7085,7.48205,3
3.1,0.19156,2.70848,7.48215,3
3.2,0.19156,2.70847,7.48224,3
3.3,0.19156,2.70845,7.48233,3
3.4,0.19156,2.70844,7.48242,3
3.5,0.19156,2.70842,7.48251,3
3.6,0.19156,2.7084,7.4826,3
3.7,0.19156,2.70839,7.48269,3
3.8,0.19156,2.70837,7.48278,3
3.9,0.19156,2.70836,7.48287,3
4,0.19156,2.70834,7.48296,3
4.1,0.19156,2.70833,7.48304,3
4.2,0.19156,2.70831,7.48313,3
4.3,0.19156,2.7083,7.48322,3
4.4,0.19156,2.70828,7.48331,3
4.5,0.19156,2.70827,7.48339,3
4.6,0.19156,2.70825,7.48348,3
4.7,0.19156,2.70824,7.48356,3
4.8,0.19156,2.70822,7.48365,3
4.9,0.19156,2.70821,7.48374,3
5,0.19156,2.70819,7.48382,3
5.1,0.19156,2.70818,7.4839,3
5.2,0.19156,2.70816,7.48399,3
5.3,0.19156,2.70815,7.48407,3
5.4,0.19156,2.70813,7.48415,3
5.5,0.19156,2.70812,7.48424,3
5.6,0.19156,2.7081,7.48432,3
