Time (s),HB (mM),Glu (mM),pH,label
0.1,0.00506,4.79169,7.62798,0
0.2,0.00506,4.79392,7.62797,0
0.3,0.00506,4.79613,7.62796,0
0.4,0.00506,4.79833,7.62795,0
0.5,0.00506,4.80051,7.62794,0
0.6,0.00506,4.80268,7.62793,0
0.7,0.00506,4.80483,7.62792,0
0.8,0.00505,4.80697,7.62792,0
0.9,0.00505,4.8091,7.62791,0
1,0.00505,4.81121,7.6279,0
1.1,0.00505,4.81331,7.62789,0
1.2,0.00505,4.81539,7.62788,0
1.3,0.00505,4.81747,7.62787,0
1.4,0.00505,4.81952,7.62786,0
1.5,0.00505,4.82157,7.62785,0
1.6,0.00505,4.8236,7.62784,0
1.7,0.00505,4.82562,7.62783,0
1.8,0.00505,4.82762,7.62782,0
1.9,0.00505,4.82961,7.62781,0
2,0.00505,4.83159,7.62781,0
2.1,0.00505,4.83355,7.6278,0
2.2,0.00505,4.8355,7.62779,0
2.3,0.00505,4.83744,7.62778,0
2.4,0.00505,4.83937,7.62777,0
2.5,0.00505,4.84128,7.62776,0
2.6,0.00505,4.84318,7.62775,0
2.7,0.00505,4.84506,7.62775,0
2.8,0.00505,4.84693,7.62774,0
2.9,0.00505,4.84879,7.62773,0
3,0.00505,4.85064,7.62772,0
3.1,0.00505,4.85247,7.62771,0
3.2,0.00505,4.8543,7.6277,0
3.3,0.00505,4.85611,7.6277,0
3.4,0.00505,4.8579,7.62769,0
3.5,0.00505,4.85969,7.62768,0
3.6,0.00505,4.86146,7.62767,0
3.7,0.00505,4.86322,7.62766,0
3.8,0.00505,4.86496,7.62766,0
3.9,0.00505,4.8667,7.62765,0
4,0.00505,4.86842,7.62764,0
4.1,0.00505,4.87013,7.62763,0
4.2,0.00505,4.87183,7.62762,0
4.3,0.00505,4.87351,7.62762,0
4.4,0.00505,4.87518,7.62761,0
4.5,0.00505,4.87685,7.6276,0
4.6,0.00505,4.87849,7.62759,0
4.7,0.00505,4.88013,7.62759,0
4.8,0.00505,4.88176,7.62758,0
4.9,0.00505,4.88337,7.62757,0
5,0.00505,4.88497,7.62757,0
5.1,0.00505,4.88656,7.62756,0
5.2,0.00505,4.88814,7.62755,0
5.3,0.00505,4.88971,7.62754,0
5.4,0.00505,4.89126,7.62754,0
5.5,0.00505,4.8928,7.62753,0
5.6,0.00505,4.89434,7.62752,0
5.7,0.00505,4.89586,7.62752,0
5.8,0.00505,4.89737,7.62751,0
5.9,0.00505,4.89886,7.6275,0
6,0.00505,4.90035,7.6275,0
6.1,0.00505,4.90182,7.62749,0
6.2,0.00505,4.90329,7.62748,0
6.3,0.00505,4.90474,7.62748,0
6.4,0.00505,4.90618,7.62747,0
6.5,0.00505,4.90761,7.62746,0
6.6,0.00505,4.90903,7.62746,0
6.7,0.00505,4.91044,7.62745,0
6.8,0.00505,4.91184,7.62744,0
6.9,0.00505,4.91322,7.62744,0
7,0.00505,4.9146,7.62743,0
7.1,0.00505,4.91596,7.62743,0
7.2,0.00505,4.91732,7.62742,0
7.3,0.00506,4.91866,7.62741,0
7.4,0.00506,4.91999,7.62741,0
7.5,0.00506,4.92131,7.6274,0
7.6,0.00506,4.92262,7.62739,0
7.7,0.00506,4.92392,7.62739,0
7.8,0.00506,4.92521,7.62738,0
7.9,0.00506,4.92649,7.62738,0
8,0.00506,4.92776,7.62737,0
8.1,0.00506,4.92902,7.62737,0
8.2,0.00506,4.93027,7.62736,0
8.3,0.00506,4.93151,7.62735,0
8.4,0.00506,4.93274,7.62735,0
8.5,0.00506,4.93395,7.62734,0
8.6,0.00506,4.93516,7.62734,0
8.7,0.00506,4.93636,7.62733,0
8.8,0.00506,4.93755,7.62733,0
8.9,0.00506,4.93872,7.62732,0
9,0.00507,4.93989,7.62732,0
9.1,0.00507,4.94105,7.62731,0
9.2,0.00507,4.9422,7.6273,0
9.3,0.00507,4.94333,7.6273,0
9.4,0.00507,4.94446,7.62729,0
9.5,0.00507,4.94558,7.62729,0
9.6,0.00507,4.94669,7.62728,0
9.7,0.00507,4.94779,7.62728,0
9.8,0.00507,4.94888,7.62727,0
9.9,0.00507,4.94996,7.62727,0
10,0.00507,4.95103,7.62726,0
10.1,0.00507,4.95209,7.62726,0
10.2,0.00507,4.95314,7.62725,0
10.3,0.00508,4.95418,7.62725,0
10.4,0.00508,4.95521,7.62724,0
10.5,0.00508,4.95624,7.62724,0
10.6,0.00508,4.95725,7.62723,0
10.7,0.00508,4.95826,7.62723,0
10.8,0.00508,4.95925,7.62723,0
10.9,0.00508,4.96024,7.62722,0
11,0.00508,4.96121,7.62722,0
11.1,0.00508,4.96218,7.62721,0
11.2,0.00508,4.96314,7.62721,0
11.3,0.00508,4.96409,7.6272,0
11.4,0.00509,4.96503,7.6272,0
11.5,0.00509,4.96596,7.62719,0
11.6,0.00509,4.96689,7.62719,0
11.7,0.00509,4.9678,7.62719,0
11.8,0.00509,4.96871,7.62718,0
11.9,0.00509,4.9696,7.62718,0
12,0.00509,4.97049,7.62717,0
12.1,0.00509,4.97137,7.62717,0
12.2,0.00509,4.97224,7.62716,0
12.3,0.00509,4.97311,7.62716,0
12.4,0.0051,4.97396,7.62716,0
12.5,0.0051,4.97481,7.62715,0
12.6,0.0051,4.97564,7.62715,0
12.7,0.0051,4.97647,7.62714,0
12.8,0.0051,4.97729,7.62714,0
12.9,0.0051,4.9781,7.62714,0
13,0.0051,4.97891,7.62713,0
13.1,0.0051,4.9797,7.62713,0
13.2,0.0051,4.98049,7.62713,0
13.3,0.00511,4.98127,7.62712,0
13.4,0.00511,4.98204,7.62712,0
13.5,0.00511,4.9828,7.62711,0
13.6,0.00511,4.98355,7.62711,0
13.7,0.00511,4.9843,7.62711,0
13.8,0.00511,4.98504,7.6271,0
13.9,0.00511,4.98577,7.6271,0
14,0.00511,4.98649,7.6271,0
14.1,0.00511,4.98721,7.62709,0
14.2,0.00512,4.98791,7.62709,0
14.3,0.00512,4.98861,7.62709,0
14.4,0.00512,4.98931,7.62708,0
14.5,0.00512,4.98999,7.62708,0
14.6,0.00512,4.99067,7.62708,0
14.7,0.00512,4.99133,7.62707,0
14.8,0.00512,4.99199,7.62707,0
14.9,0.00513,4.99265,7.62707,0
15,0.00513,4.99329,7.62706,0
15.1,0.00513,4.99393,7.62706,0
15.2,0.00513,4.99456,7.62706,0
15.3,0.00513,4.99519,7.62705,0
15.4,0.00513,4.9958,7.62705,0
15.5,0.00513,4.99641,7.62705,0
15.6,0.00513,4.99701,7.62704,0
15.7,0.00514,4.99761,7.62704,0
15.8,0.00514,4.99819,7.62704,0
15.9,0.00514,4.99877,7.62704,0
16,0.00514,4.99935,7.62703,0
16.1,0.00514,4.99991,7.62703,0
16.2,0.00514,5.00047,7.62703,0
16.3,0.00514,5.00102,7.62702,0
16.4,0.00515,5.00157,7.62702,0
16.5,0.00515,5.0021,7.62702,0
16.6,0.00515,5.00263,7.62702,0
16.7,0.00515,5.00316,7.62701,0
16.8,0.00515,5.00367,7.62701,0
16.9,0.00515,5.00418,7.62701,0
17,0.00515,5.00469,7.62701,0
17.1,0.00516,5.00518,7.627,0
17.2,0.00516,5.00567,7.627,0
17.3,0.00516,5.00616,7.627,0
17.4,0.00516,5.00663,7.627,0
17.5,0.00516,5.0071,7.62699,0
17.6,0.00516,5.00757,7.62699,0
17.7,0.00516,5.00802,7.62699,0
17.8,0.00517,5.00847,7.62699,0
17.9,0.00517,5.00892,7.62698,0
18,0.00517,5.00935,7.62698,0
18.1,0.00517,5.00978,7.62698,0
18.2,0.00517,5.01021,7.62698,0
18.3,0.00517,5.01063,7.62697,0
18.4,0.00518,5.01104,7.62697,0
18.5,0.00518,5.01144,7.62697,0
18.6,0.00518,5.01184,7.62697,0
18.7,0.00518,5.01224,7.62697,0
18.8,0.00518,5.01262,7.62696,0
18.9,0.00518,5.01301,7.62696,0
19,0.00519,5.01338,7.62696,0
19.1,0.00519,5.01375,7.62696,0
19.2,0.00519,5.01411,7.62696,0
19.3,0.00519,5.01447,7.62695,0
19.4,0.00519,5.01482,7.62695,0
19.5,0.00519,5.01517,7.62695,0
19.6,0.00519,5.0155,7.62695,0
19.7,0.0052,5.01584,7.62695,0
19.8,0.0052,5.01616,7.62694,0
19.9,0.0052,5.01649,7.62694,0
20,0.0052,5.0168,7.62694,0
20.1,0.0052,5.01711,7.62694,0
20.2,0.0052,5.01742,7.62694,0
20.3,0.00521,5.01772,7.62694,0
20.4,0.00521,5.01801,7.62693,0
20.5,0.00521,5.0183,7.62693,0
20.6,0.00521,5.01858,7.62693,0
20.7,0.00521,5.01886,7.62693,0
20.8,0.00522,5.01913,7.62693,0
20.9,0.00522,5.01939,7.62693,0
21,0.00522,5.01965,7.62692,0
21.1,0.00522,5.01991,7.62692,0
21.2,0.00522,5.02016,7.62692,0
21.3,0.00522,5.0204,7.62692,0
21.4,0.00523,5.02064,7.62692,0
21.5,0.00523,5.02087,7.62692,0
21.6,0.00523,5.0211,7.62691,0
21.7,0.00523,5.02133,7.62691,0
21.8,0.00523,5.02154,7.62691,0
21.9,0.00523,5.02176,7.62691,0
22,0.00524,5.02197,7.62691,0
22.1,0.00524,5.02217,7.62691,0
22.2,0.00524,5.02237,7.62691,0
22.3,0.00524,5.02256,7.62691,0
22.4,0.00524,5.02275,7.6269,0
22.5,0.00525,5.02293,7.6269,0
22.6,0.00525,5.02311,7.6269,0
22.7,0.00525,5.02328,7.6269,0
22.8,0.00525,5.02345,7.6269,0
22.9,0.00525,5.02361,7.6269,0
23,0.00525,5.02377,7.6269,0
23.1,0.00526,5.02392,7.6269,0
23.2,0.00526,5.02407,7.62689,0
23.3,0.00526,5.02422,7.62689,0
23.4,0.00526,5.02436,7.62689,0
23.5,0.00526,5.02449,7.62689,0
23.6,0.00527,5.02462,7.62689,0
23.7,0.00527,5.02475,7.62689,0
23.8,0.00527,5.02487,7.62689,0
23.9,0.00527,5.02499,7.62689,0
24,0.00527,5.0251,7.62689,0
24.1,0.00527,5.02521,7.62689,0
24.2,0.00528,5.02531,7.62688,0
24.3,0.00528,5.02541,7.62688,0
24.4,0.00528,5.0255,7.62688,0
24.5,0.00528,5.02559,7.62688,0
24.6,0.00528,5.02568,7.62688,0
24.7,0.00529,5.02576,7.62688,0
24.8,0.00529,5.02584,7.62688,0
24.9,0.00529,5.02591,7.62688,0
25,0.00529,5.02598,7.62688,0
25.1,0.00529,5.02605,7.62688,0
25.2,0.0053,5.02611,7.62688,0
25.3,0.0053,5.02616,7.62688,0
25.4,0.0053,5.02622,7.62687,0
25.5,0.0053,5.02626,7.62687,0
25.6,0.0053,5.02631,7.62687,0
25.7,0.00531,5.02635,7.62687,0
25.8,0.00531,5.02639,7.62687,0
25.9,0.00531,5.02642,7.62687,0
26,0.00531,5.02645,7.62687,0
26.1,0.00531,5.02647,7.62687,0
26.2,0.00531,5.02649,7.62687,0
26.3,0.00532,5.02651,7.62687,0
26.4,0.00532,5.02652,7.62687,0
26.5,0.00532,5.02653,7.62687,0
26.6,0.00532,5.02654,7.62687,0
26.7,0.00532,5.02654,7.62687,0
26.8,0.00533,5.02654,7.62687,0
26.9,0.00533,5.02653,7.62687,0
27,0.00533,5.02652,7.62687,0
27.1,0.00533,5.02651,7.62686,0
27.2,0.00533,5.02649,7.62686,0
27.3,0.00534,5.02647,7.62686,0
27.4,0.00534,5.02645,7.62686,0
27.5,0.00534,5.02642,7.62686,0
27.6,0.00534,5.02639,7.62686,0
27.7,0.00534,5.02636,7.62686,0
27.8,0.00535,5.02632,7.62686,0
27.9,0.00535,5.02628,7.62686,0
28,0.00535,5.02624,7.62686,0
28.1,0.00535,5.02619,7.62686,0
28.2,0.00535,5.02614,7.62686,0
